url,label,category,source,source_id,source_status,collected_at
http://212.164.115.235:53007/bin.sh,malicious,malware,urlhaus,3908072,online,2026-08-25T13:23:57Z
http://109.171.67.100:18713/i,malicious,malware,urlhaus,3908071,online,2026-08-25T13:23:57Z
http://182.119.13.119:44968/bin.sh,malicious,malware,urlhaus,3908070,online,2026-08-25T13:23:57Z
https://wordtax.ink/down/setup.aac,malicious,malware,urlhaus,3908069,online,2026-08-25T13:23:57Z
http://182.119.13.119:44968/i,malicious,malware,urlhaus,3908068,online,2026-08-25T13:23:57Z
https://final-aura.top/f1,malicious,malware,urlhaus,3908067,offline,2026-08-25T13:23:57Z
http://223.151.72.214:44130/bin.sh,malicious,malware,urlhaus,3908066,online,2026-08-25T13:23:57Z
http://109.171.67.100:18713/bin.sh,malicious,malware,urlhaus,3908065,online,2026-08-25T13:23:57Z
https://authowareinc1.screenconnect.com/Bin/ScreenConnect.ClientSetup.msi?e=Access&y=Guest,malicious,malware,urlhaus,3908064,online,2026-08-25T13:23:57Z
https://540239621396215402.raymelo.vu/en/ScreenConnect.ClientSetup.msi,malicious,malware,urlhaus,3908063,offline,2026-08-25T13:23:57Z
http://42.230.43.100:49444/i,malicious,malware,urlhaus,3908062,online,2026-08-25T13:23:57Z
http://123.12.225.30:60239/i,malicious,malware,urlhaus,3908061,online,2026-08-25T13:23:57Z
http://91.92.242.236/files-129312398/files/file_31233e915ca34d9f.exe,malicious,malware,urlhaus,3908060,offline,2026-08-25T13:23:57Z
https://pub-5188043a98ed4134bdbf1227691455ca.r2.dev/ScreenConnect.ClientSetup,malicious,malware,urlhaus,3908059,offline,2026-08-25T13:23:57Z
http://106.58.114.77:58834/bin.sh,malicious,malware,urlhaus,3908058,online,2026-08-25T13:23:57Z
http://123.12.225.30:60239/bin.sh,malicious,malware,urlhaus,3908057,online,2026-08-25T13:23:57Z
http://91.92.242.236/files-129312398/files/file_c28beab8f1eb5a16.exe,malicious,malware,urlhaus,3908056,online,2026-08-25T13:23:57Z
http://115.55.232.171:37663/bin.sh,malicious,malware,urlhaus,3908055,online,2026-08-25T13:23:57Z
http://150.241.65.250:889/venv/bin/python3.12,malicious,malware,urlhaus,3908054,offline,2026-08-25T13:23:57Z
http://222.142.247.129:34475/i,malicious,malware,urlhaus,3908053,online,2026-08-25T13:23:57Z
